Date,Timestamp,Open,High,Low,Close,Volume
20240220,00:00:00,51737.3,52945.5,50728.2,52229,5.04124811732135
20240221,00:00:00,52228.9,52332.1,50605.2,51810.9,4.99362875525843
20240222,00:00:00,51812.2,52027.9,50890.6,51252.2,2.31334343762211
20240223,00:00:00,51252.2,51488.4,50460.5,50685.9,2.01019940334773
20240224,00:00:00,50685.9,51645.7,50520.2,51525.7,0.191612399775607
20240225,00:00:00,51525.2,51921.4,51246.9,51693.4,0.50509779724085
20240226,00:00:00,51693.5,54886.1,50876.4,54450.2,3.87749831096119
20240227,00:00:00,54450.2,57561.7,54428.9,57013.9,6.73656715998393
20240228,00:00:00,57013.9,63993.7,56670.6,62457.8,6.37357409396509
20240229,00:00:00,62457.8,63628.7,60345.3,61125.5,8.23419708257325
20240301,00:00:00,61138.2,63185.1,60753.5,62371.6,5.44709892947003
20240302,00:00:00,62374.6,62434.6,61566.3,61982.5,0.477084009235568
20240303,00:00:00,61980.9,63194.9,61323.9,63119.2,0.616145032387707
20240304,00:00:00,63121,68486.9,62343.6,68296.8,8.08710399774782
20240305,00:00:00,68296.9,69157.7,59111.9,63759.5,7.90202713573017
20240306,00:00:00,63759.5,67597.6,62791.9,66054.5,7.82363510337382
20240307,00:00:00,66052.8,67989.8,65538.3,66899.6,6.98690116052967
20240308,00:00:00,66827.5,69988.5,66141.1,68224,5.64836816523894
20240309,00:00:00,68226.8,68640.7,67978.4,68341.4,0.668606009391169
20240310,00:00:00,68341,69905.8,68153.6,68947.8,1.59688402232177
20240311,00:00:00,68947.8,72817.8,67046.1,72047.9,7.07955019350811
20240312,00:00:00,72055.7,72955.6,68582.9,71417.7,6.18861613162608
20240313,00:00:00,71417.7,73623.5,71289,73045.3,6.61428016150694
20240314,00:00:00,73042.3,73758,68516.6,71344.6,5.10714655593454
20240315,00:00:00,71344.6,72361.8,65563.9,69450.4,3.41154826161295
20240316,00:00:00,69449.7,69984.9,64745.8,65236.2,1.01092861394503
20240317,00:00:00,65232.5,68837.8,64496.9,68311.3,2.18320103298765
20240318,00:00:00,68316,68888.7,66539.2,67568.8,3.78290703455195
20240319,00:00:00,67560.7,68075.1,61493.2,61876.5,3.64163791324474
20240320,00:00:00,61876.5,68088.9,60742.3,67819.3,4.60690195148754
20240321,00:00:00,67825.8,68188.3,64501.4,65460.7,5.11901819268181
20240322,00:00:00,65458.1,66597,62256.7,63749.4,2.73027319700969
20240323,00:00:00,63753.8,65958.5,62948.1,63955.3,0.663752001707053
20240324,00:00:00,63952.6,67585.4,63753,67167.1,0.852895998315944
20240325,00:00:00,67167.6,71140,66359.7,69870.6,1.52320098783275
20240326,00:00:00,69854.6,71509.7,69265.4,69951.3,2.04805300932367
20240327,00:00:00,69949.7,71711.9,68347.6,69395.8,1.2936259868693
20240328,00:00:00,69392.9,71507.7,68817.2,70738.9,1.08208398547458
20240329,00:00:00,70738,70874.3,68985.2,69838.6,0.353330999933405
20240330,00:00:00,69838.6,70302.1,69531.9,69567.5,0.839311008108325
20240331,00:00:00,69568.5,71327.7,69538.1,71244,0.78699378361982
20240401,00:00:00,71241.7,71255,68030,69616.1,1.47302405013988
20240402,00:00:00,69616.1,69655.6,64542.1,65416.8,1.81154955091933
20240403,00:00:00,65414.5,66864,64463.2,65921,1.96920298115992
20240404,00:00:00,65921,69289.9,65038.2,68450.5,1.56966298144971
20240405,00:00:00,68455.4,68695.2,65937.7,67791.4,1.47692967898804
20240406,00:00:00,67791.4,69643.4,67500,68860.5,0.467610565267453
